Class	Atom count	Exact molecular weight	a(xx)	a(yy)	a(zz)	Formal charge	molecular	molecular.1	a(xx).1	a(yy).1	a(zz).1	Aliphatic atom count	Aliphatic bond count	Aliphatic ring count	Aliphatic ring count of size	ASA	ASA+	ASA-	ASA_H	ASA_P	Asymmetric atom count	Balaban index	Carboaliphatic ring count	Carbo ring count	Chiral center count	Cyclomatic number	fsp3	Fused aliphatic ring count	Fused aromatic ring count	Harary index	Heteroaliphatic ring count	Heteroaromatic ring count	Hyper wiener index	Van der Waals surface area (3D)	Van der Waals surface area (3D).1	Platt index	Polar surface area	Polar surface area.1	Randic index	Rotatable bond count	Szeged index	Van der Waals surface area (3D).2	ASA.1	ASA+.1	ASA-.1	ASA_H.1	ASA_P.1	Wiener index	Wiener polarity	count	logD[pH=7]	logP of major-ms
Active	41	415.029662879	46.82	42.14	32.08	0	39.76	40.35	46.82	42.14	32.08	11	13	0	0	667.01	395.11	271.9	476.63	190.38	0	1.48	0	1	0	3	0.06	0	0	106.13	0	2	8957	500.81	500.81	134	111.43	111.43	18.79	7	2997	500.81	667.01	395.11	271.90	476.63	190.38	2135	42	1	4.49	4.49
Active	40	335.082743825	30.93	26.00	44.01	-1	33.52	33.65	30.93	26.00	44.01	11	12	0	0	577.58	391.45	186.13	414.35	163.24	0	2.07	0	2	0	2	0.19	0	0	81.93	0	0	3964	469.16	469.16	136	95.53	95.53	17.82	4	1674	469.16	574.22	367.26	206.96	404.78	169.44	1158	38	4	0.10	-0.54
Active	31	357.99286	17.58	26.93	43.01	0	28.18	29.17	17.58	26.93	43.01	9	10	0	0	501.13	211.27	289.86	352.72	148.41	0	1.71	0	2	0	2	0.07	0	0	68.70	0	0	3747	374.84	374.84	102	41.13	41.13	14.05	3	1450	374.84	501.13	211.27	289.86	352.72	148.41	1012	29	3	4.77	4.77
Active	30	344.9629343	30.55	19.84	42.12	-1	31.35	30.84	30.55	19.84	42.12	9	10	0	0	489.96	258.11	231.85	289.52	200.44	0	1.95	0	2	0	2	0	0	0	71.69	0	0	2881	389.66	389.66	98	86.3	86.30	13.71	3	1300	389.66	486.90	233.69	253.22	267.95	218.95	898	33	4	0.30	-0.20
Active	27	265.048741097	28.19	35.20	12.45	0	25.68	25.28	28.19	35.20	12.45	6	6	0	0	362.54	208.15	154.39	209.89	152.65	0	1.64	0	1	0	3	0	0	3	69.90	0	2	2113	284.61	284.61	92	87.24	87.24	12.56	1	1489	284.61	362.54	208.15	154.39	209.89	152.65	727	37	1	1.85	1.85
Active	35	345.0338755	36.98	48.84	18.64	0	35.18	34.82	36.98	48.84	18.64	6	8	0	0	564.02	363.45	200.57	483.95	80.06	0	1.42	0	1	0	3	0.06	0	0	79.40	0	2	5026	423.17	423.17	116	64.11	64.11	16.06	4	1824	423.17	564.02	363.45	200.57	483.95	80.06	1289	33	3	4.06	4.06
Active	46	372.114378306	26.01	36.21	57.40	-1	39.45	39.87	26.01	36.21	57.4	14	15	0	0	657.63	429.19	228.44	495.21	162.41	0	1.65	0	2	0	2	0.21	0	0	89.14	0	0	10102	512.44	512.44	154	90.49	90.49	20.63	7	2801	512.44	654.94	402.25	252.68	466.36	188.58	2060	35	5	1.49	0.90
Active	53	425.1328613	47.88	57.85	33.05	0	47.86	46.26	47.88	57.85	33.05	12	15	1	0	658.25	435.05	223.2	615.52	42.74	0	1.1	0	2	0	4	0.26	0	0	108.23	1	1	13371	595.24	595.24	194	35.58	35.58	23.71	6	3877	595.24	658.25	435.05	223.20	615.52	42.74	2661	40	5	4.96	5.00
Active	41	310.131742448	26.18	34.06	37.33	0	35.08	32.52	26.18	34.06	37.33	6	8	0	0	508.23	341.69	166.54	397.73	110.50	0	1.44	0	2	0	3	0.17	0	0	79.44	0	1	5127	449.95	449.95	140	78.37	78.37	18.68	5	1884	449.95	508.23	341.69	166.54	397.73	110.5	1295	33	13	4.58	4.61
Active	41	306.148061216	32.02	41.61	27.27	0	34.69	33.63	32.02	41.61	27.27	8	10	1	0	510.06	360.9	149.15	435.05	75.00	1	1.45	0	2	1	4	0.22	0	2	85.50	1	1	3623	438.62	438.62	152	58.95	58.95	18.45	2	1926	438.62	510.06	360.90	149.15	435.05	75	1103	41	6	3.58	3.58
Active	95	868.14869343	66.15	67.91	109.93	0	81.20	81.33	66.15	67.91	109.93	28	34	2	0	878.71	542.03	336.68	368.67	510.03	4	1	0	6	4	8	0.14	0	2	367.86	2	0	97160	996.31	996.31	328	351.12	351.12	44.45	8	27705	996.31	878.71	542.03	336.68	368.67	510.03	16551	127	80	5.87	6.00
Active	51	420.1353036	48.37	58.12	27.01	0	45.63	44.5	48.37	58.12	27.01	9	11	0	0	613.79	382.91	230.87	550.82	62.97	0	1.21	0	2	0	4	0.17	0	2	118.37	0	2	11587	550.67	550.67	182	67.23	67.23	23.01	6	3726	550.67	613.79	382.91	230.87	550.82	62.97	2601	48	4	4.50	4.51
Active	33	314.042652662	15.77	29.37	45.03	-1	31.58	30.05	15.77	29.37	45.03	6	6	0	0	474.13	341.97	132.16	277.26	196.87	0	1.52	0	2	0	4	0.06	0	4	87.31	0	2	3447	373.93	373.93	114	112.19	112.19	15.46	1	2042	373.93	478.06	311.81	166.25	290.30	187.77	1068	44	8	1.40	-0.10
Active	39	313.121512115	49.03	32.62	20.56	0	38.35	34.07	49.03	32.62	20.56	2	4	0	0	534.49	357.73	176.76	484.1	50.39	0	1.25	0	2	0	4	0.05	0	2	86.56	0	2	5326	436.3	436.30	134	47.9	47.90	18.02	4	2456	436.3	534.49	357.73	176.76	484.10	50.39	1388	37	4	3.74	3.74
Active	47	338.163042576	31.38	34.48	45.86	0	36.71	37.24	31.38	34.48	45.86	13	15	1	0	625.06	447.48	177.59	530.96	94.10	0	1.22	1	3	0	3	0.3	0	0	86.17	0	0	7675	512.52	512.52	170	67.43	67.43	20.89	7	2235	512.52	625.06	447.48	177.59	530.96	94.1	1743	34	2	3.67	3.67
Active	30	301.049667617	26.82	16.01	38.91	0	25.63	27.25	26.82	16.01	38.91	9	10	0	0	502.48	302.48	200	212.74	289.75	0	1.86	0	1	0	2	0.17	0	0	65.23	0	1	3043	357.61	357.61	100	68.01	68.01	13.50	3	1218	357.61	502.48	302.48	200.00	212.74	289.75	860	30	4	2.35	2.35
Active	43	345.125946046	50.66	31.47	26.42	-1	33.59	36.19	50.66	31.47	26.42	13	15	1	0	532.70	360.82	171.88	381.23	151.46	0	1.33	1	1	0	3	0.38	0	0	83.80	0	2	6162	464.16	464.16	156	107.2	107.20	19.14	3	2081	464.16	538.90	344.18	194.72	379.51	159.39	1489	37	5	2.12	1.90
Active	29	223.106924679	19.44	30.07	16.43	0	20.89	21.98	19.44	30.07	16.43	11	12	1	0	396.00	259.75	136.24	284.89	111.11	1	1.58	0	0	1	2	0.56	0	0	46.52	1	1	1419	317.86	317.86	106	88.91	88.91	12.77	3	553	317.86	396.00	259.75	136.24	284.89	111.11	465	19	42	-0.38	-0.37
Active	44	325.146664236	37.35	23.92	52.17	0	42.80	37.81	37.35	23.92	52.17	5	7	1	0	518.70	346.86	171.84	465.52	53.18	0	1.14	1	4	0	5	0.17	0	3	98.19	0	1	4639	467.58	467.58	166	33.12	33.12	20.03	1	2978	467.58	518.70	346.86	171.84	465.52	53.18	1358	46	4	6.30	6.30
Active	26	286.027294631	37.44	25.54	16.43	0	26.99	26.47	37.44	25.54	16.43	3	4	0	0	409.34	249.2	160.14	288	121.34	0	1.35	0	1	0	4	0	0	4	70.34	0	3	2147	318.46	318.46	92	91.15	91.15	12.23	2	1086	318.46	409.34	249.20	160.14	288.00	121.34	733	32	2	2.53	2.53
Active	36	349.0577816	31.92	23.70	45.25	0	32.53	33.62	31.92	23.70	45.25	10	11	0	0	572.16	371.07	201.09	425.32	146.84	0	1.36	0	1	0	3	0.21	0	2	84.87	0	2	5983	436	436.00	126	116.09	116.09	16.22	4	1858	436	572.16	371.07	201.09	425.32	146.84	1465	36	4	2.12	2.22
Active	52	398.185509352	41.19	32.09	59.12	0	44.92	44.13	41.19	32.09	59.12	5	8	0	0	663.05	482.04	181.01	598.92	64.13	1	1	0	2	1	5	0.22	0	2	118.83	0	3	12712	571.98	571.98	190	85.42	85.42	23.52	5	3833	571.98	663.05	482.04	181.01	598.92	64.13	2696	47	4	4.61	4.62
Active	32	497.9162	50.21	39.21	22.64	0	35.65	37.35	50.21	39.21	22.64	9	10	0	0	520.01	287.91	232.09	387.22	132.78	0	1.73	0	1	0	2	0.18	0	0	63.47	0	1	3339	392.8	392.80	104	101.35	101.35	14.57	4	1179	392.8	520.01	287.91	232.09	387.22	132.78	906	29	39	2.62	2.82
Active	31	339.9840041	39.20	35.06	21.38	0	33.56	31.88	39.2	35.06	21.38	9	10	0	0	445.65	251.79	193.87	299.29	146.37	0	1.69	0	2	0	2	0	0	0	68.39	0	0	3787	379.88	379.88	98	61.36	61.36	14.29	2	1410	379.88	445.65	251.79	193.87	299.29	146.37	1018	30	5	4.51	4.51
Active	28	263.052861291	27.38	29.45	17.67	0	25.72	24.84	27.38	29.45	17.67	7	8	0	0	421.73	272.13	149.6	326.5	95.23	0	1.52	0	1	0	2	0.08	0	0	53.24	0	1	2592	326.43	326.43	90	47.78	47.78	12.78	4	910	326.43	421.73	272.13	149.60	326.50	95.23	711	22	3	1.87	1.87
Active	36	421.968439	43.95	36.76	24.17	-1	36.52	34.96	43.95	36.76	24.17	13	14	0	0	464.42	266.6	197.82	301.8	162.62	0	1.58	0	2	0	2	0	0	0	86.33	0	0	7678	438.02	438.02	114	110.57	110.57	16.48	4	2236	438.02	473.16	258.80	214.36	305.59	167.57	1738	36	4	2.67	2.40
Active	53	497.08276108	49.75	53.50	37.64	-1	47.95	46.96	49.75	53.50	37.64	11	14	0	0	655.72	422.17	233.54	480.19	175.53	0	1.14	0	2	0	4	0.09	0	0	136.67	0	2	22523	611.36	611.36	184	125.98	125.98	24.09	7	5826	611.36	658.14	400.35	257.79	463.51	194.63	4079	51	8	1.70	1.12
Active	21	214.008850607	29.51	22.97	10.88	0	21.98	21.12	29.51	22.97	10.88	4	6	1	0	341.73	209.38	132.36	273.83	67.91	0	1.74	1	2	0	3	0	0	0	46.53	0	1	717	249.97	249.97	74	34.14	34.14	9.77	0	619	249.97	341.73	209.38	132.36	273.83	67.91	312	26	1	2.83	2.83
Active	30	340.9792531	28.41	25.09	42.33	0	31.04	31.94	28.41	25.09	42.33	5	7	0	0	466.22	282.4	183.83	409.19	57.03	0	1.35	0	0	0	3	0.15	0	0	71.11	0	3	3363	368.73	368.73	104	58.7	58.70	13.67	3	1325	368.73	466.22	282.40	183.83	409.19	57.03	958	31	2	2.74	2.74
Active	36	327.056529077	48.41	32.86	19.68	-1	33.43	33.65	48.41	32.86	19.68	7	9	0	0	570.06	421.26	148.79	442.19	127.87	0	1.51	0	1	0	3	0.06	0	0	80.46	0	2	4491	413.65	413.65	120	82.37	82.37	16.55	4	1580	413.65	565.63	392.25	173.38	444.92	120.71	1229	32	3	1.01	0.66
Active	32	354.99564	32.69	48.16	15.92	-1	31.85	32.26	32.69	48.16	15.92	10	13	2	0	431.18	226.22	204.96	329.72	101.45	0	1.55	0	2	0	4	0	0	0	80.79	2	0	2998	347.63	347.63	112	76.55	76.55	14.97	0	1478	347.63	431.00	183.75	247.25	335.63	95.37	957	38	7	2.21	0.19
Active	30	290.036127984	40.20	26.79	17.83	0	28.47	28.27	40.2	26.79	17.83	8	10	1	0	493.98	322.54	171.45	320.07	173.92	0	1.33	0	2	0	3	0.08	0	0	65.02	1	0	3087	360.47	360.47	102	73.63	73.63	13.78	4	1321	360.47	493.98	322.54	171.45	320.07	173.92	872	28	2	3.56	3.56
Active	39	331.112090246	36.85	20.24	47.59	0	38.71	34.89	36.85	20.24	47.59	2	5	0	0	530.78	366.18	164.6	402.12	128.66	0	1.28	0	2	0	4	0	0	0	93.10	0	2	5379	435.9	435.90	132	61.8	61.80	18.16	3	2313	435.9	530.78	366.18	164.60	402.12	128.66	1475	38	17	4.10	4.10
Active	32	323.022832	46.01	31.87	16.73	0	31.17	31.54	46.01	31.87	16.73	9	10	0	0	526.69	289.78	236.91	389.22	137.47	0	1.56	0	2	0	2	0	0	0	66.53	0	0	4412	382.3	382.30	100	76.71	76.71	14.73	4	1484	382.3	526.69	289.78	236.91	389.22	137.47	1094	28	13	4.15	4.15
Active	40	337.106255975	20.83	32.55	49.71	-1	34.79	34.36	20.83	32.55	49.71	8	10	0	0	590.59	410.64	179.95	480.66	109.93	0	1.25	0	2	0	3	0.06	0	0	87.69	0	1	7511	450.35	450.35	132	90.66	90.66	18.33	5	2274	450.35	596.91	405.29	191.63	463.36	133.55	1715	36	4	1.73	1.31
Active	38	266.13067982	31.05	30.37	27.99	0	31.89	29.8	31.05	30.37	27.99	8	9	0	0	478.87	314.09	164.78	391.49	87.37	0	1.96	0	2	0	2	0.11	0	0	65.45	0	0	2641	393.62	393.62	124	40.46	40.46	17.25	3	1198	393.62	478.87	314.09	164.78	391.49	87.37	814	30	3	4.83	4.83
Active	23	246.0018471	34.16	24.44	15.05	0	26.96	24.55	34.16	24.44	15.05	1	2	0	0	400.55	229.94	170.62	349.93	50.62	0	1.44	0	1	0	3	0	0	2	48.78	0	2	1190	286.57	286.57	78	25.78	25.78	10.73	1	707	286.57	400.55	229.94	170.62	349.93	50.62	426	23	2	3.76	3.76
Active	39	372.069239632	31.30	24.34	52.52	-1	34.15	36.05	31.3	24.34	52.52	9	11	0	0	622.48	370.48	252	446.5	175.98	0	1.3	0	1	0	3	0.06	0	0	89.81	0	2	10273	457.55	457.55	128	90.41	90.41	17.92	6	2704	457.55	628.32	364.02	264.29	441.87	186.45	2078	34	9	1.37	1.14
Active	41	345.111341355	25.16	30.52	50.31	0	39.06	35.33	25.16	30.52	50.31	4	7	0	0	546.31	404.38	141.93	452.08	94.23	0	1.04	0	2	0	4	0.05	0	0	93.94	0	2	8500	465.27	465.27	140	81.01	81.01	18.93	6	2496	465.27	546.31	404.38	141.93	452.08	94.23	1898	36	7	4.05	4.05
Active	34	333.0338755	47.06	32.43	21.09	0	31.93	33.53	47.06	32.43	21.09	6	8	0	0	543.84	332.64	211.21	437.47	106.38	0	1.37	0	1	0	3	0.07	0	0	72.39	0	2	5050	406.82	406.82	114	67.16	67.16	15.62	5	1562	406.82	543.84	332.64	211.21	437.47	106.38	1226	27	2	3.61	3.61
Active	42	356.1040035	39.57	47.92	24.69	0	35.49	37.39	39.57	47.92	24.69	9	12	1	0	604.81	381.02	223.79	538.64	66.16	0	1.08	1	2	0	4	0.28	0	0	88.41	0	2	7577	478.99	478.99	156	72.95	72.95	18.90	5	2209	478.99	604.81	381.02	223.79	538.64	66.16	1717	34	3	3.99	3.99
Active	15	429.69515	30.52	31.40	14.46	0	26.76	25.46	30.52	31.40	14.46	4	4	0	0	352.95	138.32	214.63	316.88	36.07	0	1.87	0	1	0	2	0	0	2	36.83	0	1	444	245.35	245.35	50	28.68	28.68	6.95	0	352	245.35	352.95	138.32	214.63	316.88	36.07	211	22	4	4.33	4.33
Active	33	310.070204818	46.10	29.83	15.48	0	30.25	30.47	46.1	29.83	15.48	6	8	0	0	530.68	310.6	220.08	316.51	214.17	0	1.38	0	2	0	3	0	0	0	78.61	0	1	5382	389.29	389.29	108	111.16	111.16	15.31	4	1886	389.29	530.68	310.60	220.08	316.51	214.17	1329	32	2	2.65	2.70
Active	45	334.157580526	32.64	27.40	51.40	0	33.93	37.15	32.64	27.40	51.4	12	13	0	0	646.91	429.46	217.44	478.03	168.88	0	1.57	0	0	0	2	0.53	0	0	73.74	0	2	7111	496.86	496.86	160	106.68	106.68	19.77	9	1832	496.86	646.91	429.46	217.44	478.03	168.88	1515	28	4	3.28	3.38
Active	45	375.121906039	52.75	33.69	29.77	-1	38.81	38.74	52.75	33.69	29.77	10	12	0	0	650.80	439.88	210.92	496.95	153.85	0	1.18	0	2	0	3	0.05	0	0	99.27	0	1	13945	506.36	506.36	148	94.59	94.59	20.59	7	3621	506.36	657.71	433.88	223.84	495.44	162.28	2610	39	7	1.88	1.44
Active	26	236.058577506	31.21	28.35	11.82	0	27.41	23.79	31.21	28.35	11.82	4	4	0	0	407.51	280.51	127	303.94	103.57	0	1.71	0	1	0	3	0	0	3	58.71	0	2	1629	299.42	299.42	88	59.92	59.92	12.07	2	1170	299.42	407.51	280.51	127.00	303.94	103.57	569	30	2	3.06	3.06
Active	35	353.0124714	21.46	31.73	47.59	-1	32.12	33.59	21.46	31.73	47.59	12	14	1	0	524.53	341.72	182.81	388.65	135.88	0	1.56	0	1	0	3	0.2	0	0	81.87	1	1	4145	413.69	413.69	122	87.69	87.69	15.91	3	1709	413.69	520.58	311.77	208.81	396.44	124.14	1182	37	3	0.47	0.10
Active	35	447.99448	51.87	37.98	21.75	0	36.33	37.2	51.87	37.98	21.75	4	6	0	0	544.25	238.71	305.54	442.53	101.72	0	1.22	0	2	0	4	0	0	2	91.52	0	2	5877	422.91	422.91	118	88.76	88.76	16.38	4	2460	422.91	544.25	238.71	305.54	442.53	101.72	1539	36	3	4.68	4.68
Active	64	471.215806426	52.63	60.52	39.72	0	51.29	50.96	52.63	60.52	39.72	17	20	1	0	763.11	545.31	217.8	678.95	84.15	0	1.26	0	3	0	4	0.25	0	0	146.92	1	0	19441	695.72	695.72	230	78.95	78.95	28.59	7	5676	695.72	763.11	545.31	217.80	678.95	84.15	3956	56	2	4.72	4.72
Active	59	428.1979039	38.25	41.82	61.83	0	45.80	47.3	38.25	41.82	61.83	18	20	1	0	682.08	473.63	208.45	550.77	131.31	0	1.34	0	2	0	3	0.39	0	0	110.85	1	0	15998	644.98	644.98	216	64.68	64.68	25.94	7	3930	644.98	682.08	473.63	208.45	550.77	131.31	3024	43	2	3.47	3.47
Active	34	325.063345788	35.08	39.87	22.32	0	31.82	32.42	35.08	39.87	22.32	4	6	0	0	516.91	340.63	176.28	406.03	110.87	0	1.28	0	1	0	4	0.07	0	2	81.69	0	3	4732	397.39	397.39	118	85.32	85.32	15.75	3	1743	397.39	516.91	340.63	176.28	406.03	110.87	1246	33	2	2.97	3.20
Active	52	393.180089621	49.13	52.35	28.33	1	43.63	43.27	49.13	52.35	28.33	13	15	1	0	687.70	500.77	186.93	521.47	166.23	0	1.19	0	2	0	4	0.33	0	2	109.94	1	1	11719	580.38	580.38	192	94.62	94.62	23.18	7	4098	580.38	674.15	485.03	189.11	519.08	155.07	2516	44	6	3.31	0.06
Active	31	265.073893218	27.12	37.95	16.51	0	28.16	27.19	27.12	37.95	16.51	8	10	1	0	421.12	272.67	148.45	317.29	103.83	0	1.44	1	3	0	3	0	0	0	67.02	0	0	2701	332	332.00	104	66.4	66.40	14.38	2	1468	332	421.12	272.67	148.45	317.29	103.83	814	32	9	2.11	2.11
Active	45	358.142975836	37.18	25.05	53.75	0	40.14	38.66	37.18	25.05	53.75	6	9	1	0	579.02	407.05	171.97	526.36	52.66	0	1.25	0	1	0	5	0.14	0	2	105.93	1	3	6731	495.49	495.49	164	60.68	60.68	20.55	3	2997	495.49	579.02	407.05	171.97	526.36	52.66	1788	44	3	3.52	3.52
Active	26	310.9686884	31.21	40.54	15.79	0	28.48	29.18	31.21	40.54	15.79	8	9	0	0	458.98	244.37	214.6	365.95	93.03	0	1.56	0	1	0	2	0	0	0	58.82	0	1	2746	334.57	334.57	82	64.92	64.92	12.04	2	1012	334.57	458.98	244.37	214.60	365.95	93.03	779	25	3	4.13	4.13
Active	44	363.133139427	27.03	32.44	49.23	-1	38.34	36.24	27.03	32.44	49.23	9	11	0	0	556.63	354.17	202.47	416.73	139.90	0	1.34	0	2	0	3	0.05	0	0	96.95	0	1	10008	484.17	484.17	144	116.43	116.43	20.17	6	2912	484.17	561.04	337.33	223.71	417.16	143.88	2154	39	5	1.04	0.82
Active	50	420.100748	56.91	47.33	29.38	0	43.86	44.54	56.91	47.33	29.38	13	14	0	0	715.57	548.12	167.44	662.57	52.99	0	1.47	0	1	0	3	0.33	0	2	107.20	0	2	9160	589.22	589.22	180	53.35	53.35	22.02	7	3024	589.22	715.57	548.12	167.44	662.57	52.99	2145	47	6	4.20	4.20
Active	56	467.148120788	61.05	57.25	31.26	0	49.37	49.85	61.05	57.25	31.26	11	14	0	0	729.34	429.33	300.01	552.44	176.90	0	1.28	0	4	0	4	0	0	0	146.17	0	0	18108	607.54	607.54	184	127.76	127.76	25.93	6	5654	607.54	729.34	429.33	300.01	552.44	176.9	3886	54	3	4.63	4.64
Active	40	395.0455028	30.40	32.16	51.28	0	37.99	37.95	30.4	32.16	51.28	14	15	0	0	601.34	300.03	301.31	394.37	206.97	0	1.66	0	2	0	2	0.07	0	0	89.93	0	0	9603	479.55	479.55	128	117.56	117.56	18.17	5	2666	479.55	601.34	300.03	301.31	394.37	206.97	2018	36	3	3.47	3.47
Active	32	281.080041226	21.19	22.33	42.42	0	28.53	28.65	21.19	22.33	42.42	9	10	0	0	493.61	267.66	225.95	360.87	132.74	0	1.59	0	2	0	2	0	0	0	66.80	0	0	4371	366.77	366.77	100	84.27	84.27	14.79	3	1570	366.77	493.61	267.66	225.95	360.87	132.74	1086	28	3	3.21	3.21
Active	54	426.157957196	47.10	51.62	36.45	0	46.43	45.06	47.1	51.62	36.45	10	13	1	0	607.44	419.41	188.03	532.36	75.09	0	1.17	0	3	0	5	0.15	0	2	131.16	1	1	14538	580.06	580.06	196	67.87	67.87	24.51	4	5173	580.06	607.44	419.41	188.03	532.36	75.09	3104	53	2	4.43	4.43
Active	46	377.10856465	36.55	30.39	52.98	0	42.35	39.97	36.55	30.39	52.98	10	13	1	0	566.88	387.34	179.54	510.12	56.76	0	1.32	0	2	0	4	0.18	0	0	102.83	1	1	8359	516.05	516.05	166	50.52	50.52	20.75	3	2921	516.05	566.88	387.34	179.54	510.12	56.76	1955	46	3	3.53	3.53
Active	27	273.0305042	43.35	24.43	13.58	0	27.49	27.12	43.35	24.43	13.58	4	5	0	0	455.48	248.32	207.16	362.81	92.67	0	1.39	0	1	0	3	0	0	2	60.51	0	2	2640	324.19	324.19	90	68.02	68.02	12.56	2	1124	324.19	455.48	248.32	207.16	362.81	92.67	759	26	3	2.70	2.70
Active	42	396.086781402	30.40	35.32	38.76	0	35.67	34.83	30.4	35.32	38.76	13	14	0	0	562.42	339.81	222.61	404.1	158.32	0	1.41	0	1	0	3	0.24	0	2	98.88	0	2	9313	491.21	491.21	148	76.02	76.02	18.84	6	2432	491.21	562.42	339.81	222.61	404.10	158.32	2074	37	3	3.21	3.21
